"genes","logFC","logCPM","PValue","FDR"
"MAN1A1",-1.60552543886141,6.26796389336674,1.0464916001518e-09,5.58378018080995e-08
"NUCB2",-1.07790216484209,5.98478610009204,1.07017092209151e-09,5.68755660807999e-08
"VSIR",1.83441920333768,3.71856586338494,1.0892879650845e-09,5.7663645584749e-08
"NDRG1",-1.6100730841668,6.20651017196366,1.10687785472889e-09,5.8365018175234e-08
"ITIH2",-3.16374013697931,5.35775565484376,1.12097449300947e-09,5.8877433722677e-08
"FMO5",-3.01559278773476,5.10466840977051,1.20801534303852e-09,6.32022346400621e-08
"UGT2B7",-3.54651628030202,4.03414550418723,1.33654383794314e-09,6.96556916472227e-08
"SPANXB1",2.08793132892585,8.21553560618194,1.46669155427734e-09,7.61433769838342e-08
"ZXDB",-1.29483683443759,3.82922945244043,1.56456120808245e-09,8.09118846302945e-08
"ABCC2",-1.36993160752055,5.98749580074814,1.74047583748099e-09,8.96645138343656e-08
"AKR1C3",-1.2653908240089,9.26468533919725,1.86349333570425e-09,9.56356159995393e-08
"EPHX1",-1.32921994077545,9.30289543441409,2.16464092276725e-09,1.10668295998207e-07
"PWWP3B",-1.25929911644892,3.75054512519791,2.18008179609282e-09,1.11035529660091e-07
"LPCAT1",-1.34408894701267,5.39225361246269,2.51982780787704e-09,1.27855112093263e-07
"SALL1",-1.55247876493362,3.36896102294039,3.01267901670601e-09,1.52287526536199e-07
"CNNM3",-1.10355126735095,4.40292734299823,3.67012169555996e-09,1.84825679095503e-07
"MYO1B",-1.29565579799331,5.52848272389968,4.39048032356748e-09,2.20277606084658e-07
"IPMK",-1.26863985911936,4.85507965818477,4.4904137634916e-09,2.24453916222707e-07
"PID1",-2.37125212312464,3.62927839041962,4.72884763450004e-09,2.35496612198102e-07
"ADH4",-2.43387373357199,3.41332071127459,5.91880391443944e-09,2.93668772817538e-07
"ACBD4",-1.36399598356368,3.62681630443259,6.47695951928597e-09,3.20180873883526e-07
"PLGLB1",-2.58085023340234,3.55369410863605,7.97041523707603e-09,3.92564847171151e-07
"AQP11",-1.98131057223427,3.0164119659187,8.10154772671923e-09,3.97567192457908e-07
"TMT1A",-1.03772371473792,7.78044573396091,8.5797445301616e-09,4.19502708918374e-07
"SORD",-0.956656219788728,5.52599489653105,9.78530011182914e-09,4.76714294578459e-07
"ALAD",-1.33389489773978,5.20543613932382,1.00478582621202e-08,4.8773827506306e-07
"AZGP1P1",-3.15566557339251,1.48760859357086,1.14504440876297e-08,5.53822558281541e-07
"TM6SF2",-2.49872343718568,1.18512926762399,1.28310220387531e-08,6.18372481480554e-07
"LINC01151",-2.34338070183946,2.22936660573195,1.28851161839431e-08,6.18761686461781e-07
"GC",-4.46399747152492,7.41494682143082,1.50452860734483e-08,7.18071128056599e-07
"MMP14",1.17922966587498,6.98150039510656,1.50599477994914e-08,7.18071128056599e-07
"PECR",-1.08455441541154,4.60495770699225,1.58156086304746e-08,7.49507703542069e-07
"IGFBP7",1.56085972190534,7.38627309957252,1.58307442961437e-08,7.49507703542069e-07
"CALCR",3.45551256437483,3.1407880456329,1.72478614550564e-08,8.13735947805922e-07
"RTN4RL2",-1.14989844832978,4.3761737416888,1.77243068933981e-08,8.33290316393813e-07
"CRELD2",-0.990364704826263,5.99657300209605,2.02966102710912e-08,9.50899727195444e-07
"IL21R",2.06858419866043,3.15433563785809,2.04566563715931e-08,9.55070144348752e-07
"FGA",-2.71864165951482,11.9148367804608,2.06115744121577e-08,9.58973112615478e-07
"PDCD6-AHRR",7.81060444685826,1.33430095150369,2.07106826100913e-08,9.60261511638924e-07
"RHOU",-0.984134308552075,4.80089512103797,2.18928819420221e-08,1.01158656560972e-06
"IL13RA2",-1.18220773311405,5.77483748097479,2.20743584602455e-08,1.0164788488235e-06
"EPB41L5",-1.30486378088537,3.70632460806487,2.39551596500413e-08,1.09932108073193e-06
"ENSG00000291149",-1.81705101894198,3.92385113381834,2.43869395940681e-08,1.11532921694503e-06
"GDA",-2.03235097641753,1.80367790889663,2.47627339042554e-08,1.12867701720888e-06
"UGT2A3",-2.64431910691798,5.21467651176581,2.53812492784161e-08,1.15296039796481e-06
"NAT2",-1.9042906700534,2.96264557800123,2.67385170074543e-08,1.21052558815566e-06
"CAPN5",-1.38845784682547,3.09278756574401,2.72382781254774e-08,1.22901304588983e-06
"TIMP1",-1.51637898592021,10.6750475906686,2.81621819150933e-08,1.26645049508477e-06
"TM4SF4",-2.19208209519737,6.536140960775,3.30228605441459e-08,1.48008460958862e-06
"CLCN5",-1.75885105997645,2.00337985840649,3.48867552749453e-08,1.55842960606948e-06
"ABCC6P1",-1.17187161927399,3.74990781804238,3.65018465257214e-08,1.62517823968494e-06
"ENSG00000286539",-3.69515003565657,1.5422279064886,3.75604263865063e-08,1.66679040657744e-06
